Produto;Filial;Vendedor;Faturamento;Margem_Bruta_%_;Mês;Meta_Faturamento
Notebook;São Paulo;João Silva;45000;28;Janeiro;40000
Notebook;Rio de Janeiro;Maria Santos;38500;26;Janeiro;40000
Tablet;São Paulo;João Silva;22000;32;Janeiro;25000
Tablet;Rio de Janeiro;Maria Santos;28000;31;Janeiro;25000
Smartphone;São Paulo;João Silva;55000;25;Janeiro;50000
Smartphone;Rio de Janeiro;Maria Santos;48000;24;Janeiro;50000
Monitor;São Paulo;Carlos Oliveira;35000;22;Janeiro;35000
Monitor;Rio de Janeiro;Beatriz Costa;32000;21;Janeiro;35000
Teclado;São Paulo;João Silva;12000;38;Janeiro;10000
Teclado;Rio de Janeiro;Maria Santos;14000;36;Janeiro;10000
Mouse;São Paulo;Carlos Oliveira;8000;42;Janeiro;8000
Mouse;Rio de Janeiro;Beatriz Costa;9000;41;Janeiro;8000
Notebook;São Paulo;João Silva;52000;29;Fevereiro;40000
Notebook;Rio de Janeiro;Maria Santos;42000;27;Fevereiro;40000
Tablet;São Paulo;João Silva;26000;33;Fevereiro;25000
Tablet;Rio de Janeiro;Maria Santos;30000;30;Fevereiro;25000
Smartphone;São Paulo;João Silva;58000;26;Fevereiro;50000
Smartphone;Rio de Janeiro;Maria Santos;51000;25;Fevereiro;50000
Monitor;São Paulo;Carlos Oliveira;38000;23;Fevereiro;35000
Monitor;Rio de Janeiro;Beatriz Costa;35000;22;Fevereiro;35000
Teclado;São Paulo;João Silva;13000;39;Fevereiro;10000
Teclado;Rio de Janeiro;Maria Santos;15000;37;Fevereiro;10000
Mouse;São Paulo;Carlos Oliveira;9000;43;Fevereiro;8000
Mouse;Rio de Janeiro;Beatriz Costa;10000;42;Fevereiro;8000
Notebook;São Paulo;João Silva;48000;28;Março;40000
Notebook;Rio de Janeiro;Maria Santos;40000;26;Março;40000
Tablet;São Paulo;João Silva;24000;32;Março;25000
Tablet;Rio de Janeiro;Maria Santos;29000;31;Março;25000
Smartphone;São Paulo;João Silva;56000;25;Março;50000
Smartphone;Rio de Janeiro;Maria Santos;49000;24;Março;50000
Monitor;São Paulo;Carlos Oliveira;36000;22;Março;35000
Monitor;Rio de Janeiro;Beatriz Costa;33000;21;Março;35000
Teclado;São Paulo;João Silva;11500;38;Março;10000
Teclado;Rio de Janeiro;Maria Santos;13500;36;Março;10000
Mouse;São Paulo;Carlos Oliveira;8500;42;Março;8000
Mouse;Rio de Janeiro;Beatriz Costa;9500;41;Março;8000
Notebook;São Paulo;João Silva;50000;28;Abril;40000
Notebook;Rio de Janeiro;Maria Santos;41000;27;Abril;40000
Tablet;São Paulo;João Silva;25000;33;Abril;25000
Tablet;Rio de Janeiro;Maria Santos;30500;31;Abril;25000
Smartphone;São Paulo;João Silva;57000;26;Abril;50000
Smartphone;Rio de Janeiro;Maria Santos;50000;25;Abril;50000
Monitor;São Paulo;Carlos Oliveira;37000;23;Abril;35000
Monitor;Rio de Janeiro;Beatriz Costa;34000;22;Abril;35000
Teclado;São Paulo;João Silva;12500;39;Abril;10000
Teclado;Rio de Janeiro;Maria Santos;14500;37;Abril;10000
Mouse;São Paulo;Carlos Oliveira;8800;43;Abril;8000
Mouse;Rio de Janeiro;Beatriz Costa;9800;42;Abril;8000
Notebook;São Paulo;João Silva;46000;29;Maio;40000
Notebook;Rio de Janeiro;Maria Santos;39000;26;Maio;40000
Tablet;São Paulo;João Silva;23000;32;Maio;25000
Tablet;Rio de Janeiro;Maria Santos;28500;30;Maio;25000
Smartphone;São Paulo;João Silva;54000;25;Maio;50000
Smartphone;Rio de Janeiro;Maria Santos;47000;24;Maio;50000
Monitor;São Paulo;Carlos Oliveira;34000;21;Maio;35000
Monitor;Rio de Janeiro;Beatriz Costa;31000;20;Maio;35000
Teclado;São Paulo;João Silva;11800;38;Maio;10000
Teclado;Rio de Janeiro;Maria Santos;13800;36;Maio;10000
Mouse;São Paulo;Carlos Oliveira;8300;42;Maio;8000
Mouse;Rio de Janeiro;Beatriz Costa;9300;41;Maio;8000
Notebook;São Paulo;João Silva;51000;29;Junho;40000
Notebook;Rio de Janeiro;Maria Santos;43000;28;Junho;40000
Tablet;São Paulo;João Silva;26500;34;Junho;25000
Tablet;Rio de Janeiro;Maria Santos;31000;32;Junho;25000
Smartphone;São Paulo;João Silva;59000;27;Junho;50000
Smartphone;Rio de Janeiro;Maria Santos;52000;26;Junho;50000
Monitor;São Paulo;Carlos Oliveira;39000;24;Junho;35000
Monitor;Rio de Janeiro;Beatriz Costa;36000;23;Junho;35000
Teclado;São Paulo;João Silva;13500;40;Junho;10000
Teclado;Rio de Janeiro;Maria Santos;15500;38;Junho;10000
Mouse;São Paulo;Carlos Oliveira;9200;44;Junho;8000
Mouse;Rio de Janeiro;Beatriz Costa;10200;43;Junho;8000
Notebook;São Paulo;João Silva;49000;28;Julho;40000
Notebook;Rio de Janeiro;Maria Santos;41500;27;Julho;40000
Tablet;São Paulo;João Silva;24500;32;Julho;25000
Tablet;Rio de Janeiro;Maria Santos;29500;31;Julho;25000
Smartphone;São Paulo;João Silva;55500;25;Julho;50000
Smartphone;Rio de Janeiro;Maria Santos;48500;24;Julho;50000
Monitor;São Paulo;Carlos Oliveira;35500;22;Julho;35000
Monitor;Rio de Janeiro;Beatriz Costa;32500;21;Julho;35000
Teclado;São Paulo;João Silva;12200;38;Julho;10000
Teclado;Rio de Janeiro;Maria Santos;14200;36;Julho;10000
Mouse;São Paulo;Carlos Oliveira;8600;42;Julho;8000
Mouse;Rio de Janeiro;Beatriz Costa;9600;41;Julho;8000
