Departamento;Funcionário;Horas_Extras;Rotatividade_%_;Absenteísmo_%_;Treinamentos_h;Mês
Vendas;Carlos Mendes;12;5,2;2,1;8;Janeiro
Vendas;Ana Costa;8;3,8;1,5;6;Janeiro
Vendas;Pedro Duarte;14;4,5;2,3;7;Janeiro
Vendas;Luciana Ferreira;10;4,1;1,8;8;Janeiro
Operações;Bruno Silva;15;4,1;3,2;10;Janeiro
Operações;Fernanda Lima;10;2,9;1,8;8;Janeiro
Operações;Gustavo Neves;12;3,5;2,5;9;Janeiro
Operações;Renata Souza;11;3,2;2,0;8;Janeiro
TI;Roberto Santos;18;6,5;2,8;12;Janeiro
TI;Juliana Rocha;14;5,1;2,3;10;Janeiro
TI;Marcelo Dias;16;5,8;2,6;11;Janeiro
TI;Camila Moura;13;5,3;2,2;10;Janeiro
RH;Beatriz Oliveira;6;2,1;1,2;6;Janeiro
RH;Felipe Gomes;7;2,5;1,4;7;Janeiro
Financeiro;Melissa Martins;9;3,2;1,6;8;Janeiro
Financeiro;Wagner Costa;10;3,8;1,9;9;Janeiro
Vendas;Carlos Mendes;10;5,1;1,9;8;Fevereiro
Vendas;Ana Costa;12;4,0;1,8;6;Fevereiro
Vendas;Pedro Duarte;13;4,6;2,2;7;Fevereiro
Vendas;Luciana Ferreira;9;4,2;1,7;8;Fevereiro
Operações;Bruno Silva;16;4,3;3,5;10;Fevereiro
Operações;Fernanda Lima;12;3,1;2,0;8;Fevereiro
Operações;Gustavo Neves;13;3,7;2,6;9;Fevereiro
Operações;Renata Souza;10;3,3;2,1;8;Fevereiro
TI;Roberto Santos;20;6,8;3,0;12;Fevereiro
TI;Juliana Rocha;16;5,3;2,5;10;Fevereiro
TI;Marcelo Dias;18;6,1;2,8;11;Fevereiro
TI;Camila Moura;15;5,5;2,4;10;Fevereiro
RH;Beatriz Oliveira;5;2,0;1,1;6;Fevereiro
RH;Felipe Gomes;6;2,4;1,3;7;Fevereiro
Financeiro;Melissa Martins;8;3,1;1,5;8;Fevereiro
Financeiro;Wagner Costa;9;3,7;1,8;9;Fevereiro
Vendas;Carlos Mendes;11;5,0;2,0;8;Março
Vendas;Ana Costa;9;3,9;1,6;6;Março
Vendas;Pedro Duarte;12;4,5;2,1;7;Março
Vendas;Luciana Ferreira;11;4,1;1,9;8;Março
Operações;Bruno Silva;14;4,2;3,1;10;Março
Operações;Fernanda Lima;11;3,0;1,9;8;Março
Operações;Gustavo Neves;11;3,6;2,4;9;Março
Operações;Renata Souza;9;3,1;2,0;8;Março
TI;Roberto Santos;19;6,6;2,9;12;Março
TI;Juliana Rocha;15;5,2;2,4;10;Março
TI;Marcelo Dias;17;6,0;2,7;11;Março
TI;Camila Moura;14;5,4;2,3;10;Março
RH;Beatriz Oliveira;7;2,2;1,3;6;Março
RH;Felipe Gomes;8;2,6;1,5;7;Março
Financeiro;Melissa Martins;10;3,3;1,7;8;Março
Financeiro;Wagner Costa;11;3,9;2,0;9;Março
Vendas;Carlos Mendes;13;5,3;2,2;8;Abril
Vendas;Ana Costa;10;4,1;1,7;6;Abril
Vendas;Pedro Duarte;14;4,7;2,3;7;Abril
Vendas;Luciana Ferreira;12;4,3;2,0;8;Abril
Operações;Bruno Silva;17;4,4;3,3;10;Abril
Operações;Fernanda Lima;13;3,2;2,1;8;Abril
Operações;Gustavo Neves;14;3,8;2,7;9;Abril
Operações;Renata Souza;12;3,4;2,2;8;Abril
TI;Roberto Santos;21;7,0;3,1;12;Abril
TI;Juliana Rocha;17;5,4;2,6;10;Abril
TI;Marcelo Dias;19;6,2;2,9;11;Abril
TI;Camila Moura;16;5,6;2,5;10;Abril
RH;Beatriz Oliveira;8;2,3;1,4;6;Abril
RH;Felipe Gomes;9;2,7;1,6;7;Abril
Financeiro;Melissa Martins;11;3,4;1,8;8;Abril
Financeiro;Wagner Costa;12;4,0;2,1;9;Abril
Vendas;Carlos Mendes;11;5,1;2,0;8;Maio
Vendas;Ana Costa;8;3,9;1,5;6;Maio
Vendas;Pedro Duarte;13;4,6;2,2;7;Maio
Vendas;Luciana Ferreira;10;4,2;1,8;8;Maio
Operações;Bruno Silva;15;4,1;3,2;10;Maio
Operações;Fernanda Lima;10;2,9;1,9;8;Maio
Operações;Gustavo Neves;12;3,5;2,5;9;Maio
Operações;Renata Souza;11;3,2;2,0;8;Maio
TI;Roberto Santos;18;6,5;2,8;12;Maio
TI;Juliana Rocha;14;5,1;2,3;10;Maio
TI;Marcelo Dias;16;5,8;2,6;11;Maio
TI;Camila Moura;13;5,3;2,2;10;Maio
RH;Beatriz Oliveira;6;2,1;1,2;6;Maio
RH;Felipe Gomes;7;2,5;1,4;7;Maio
Financeiro;Melissa Martins;9;3,2;1,6;8;Maio
Financeiro;Wagner Costa;10;3,8;1,9;9;Maio
Vendas;Carlos Mendes;12;5,2;2,1;8;Junho
Vendas;Ana Costa;9;4,0;1,6;6;Junho
Vendas;Pedro Duarte;14;4,7;2,3;7;Junho
Vendas;Luciana Ferreira;11;4,3;1,9;8;Junho
Operações;Bruno Silva;16;4,2;3,3;10;Junho
Operações;Fernanda Lima;11;3,0;2,0;8;Junho
Operações;Gustavo Neves;13;3,6;2,6;9;Junho
Operações;Renata Souza;12;3,3;2,1;8;Junho
TI;Roberto Santos;19;6,6;2,9;12;Junho
TI;Juliana Rocha;15;5,2;2,4;10;Junho
TI;Marcelo Dias;17;5,9;2,7;11;Junho
TI;Camila Moura;14;5,4;2,3;10;Junho
RH;Beatriz Oliveira;7;2,2;1,3;6;Junho
RH;Felipe Gomes;8;2,6;1,5;7;Junho
Financeiro;Melissa Martins;10;3,3;1,7;8;Junho
Financeiro;Wagner Costa;11;3,9;2,0;9;Junho
